ID CIUDAD,CIUDAD,REGION
1,Alabama,South
2,Arizona,West
3,Arkansas,South
4,California,West
5,Colorado,West
6,Connecticut,East
7,Delaware,East
8,District of Columbia,East
9,Florida,South
10,Georgia,South
11,Idaho,West
12,Illinois,Central
13,Indiana,Central
14, Iowa,Central
15,Kansas,Central
16,Kentucky,South
17,Louisiana,South
18,Maine,East
19,Maryland,East
20,Massachusetts,East
21,Michigan,Central
22,Minnesota,Central
23,Mississippi,South
24,Missouri,Central
25,Montana,West
26,Nebraska,Central
27,Nevada,West
28,New Hampshire,East
29,New Jersey,East
30,New Mexico,West
31,New York,East
32,North Carolina,South
33,North Dakota,Central
34,Ohio,East
35,Oklahoma,Central
36,Oregon,West
37,Pennsylvania,East
38,Rhode Island,East
39,South Carolina,South
40,South Dakota,Central
41,Tennessee,South
42,Texas,Central
43,Utah,West
44,Vermont,East
45,Virginia,South
46,Washington,West
47,West Virginia,East
48, Wisconsin,Central
49,Wyoming,West
1,Alabama,South
2,Arizona,West
3,Arkansas,South
